Player,year_born,Cluster 1,VORP 1,WS 1,Cluster 2,VORP 2,WS 2,Cluster 3,VORP 3,WS 3,Cluster 4,VORP 4,WS 4,Cluster 5,VORP 5,WS 5,Cluster 6,VORP 6,WS 6,Cluster 7,VORP 7,WS 7,Cluster 8,VORP 8,WS 8,Cluster 9,VORP 9,WS 9,Cluster 10,VORP 10,WS 10,Cluster 11,VORP 11,WS 11,Cluster 12,VORP 12,WS 12,Cluster 13,VORP 13,WS 13,Cluster 14,VORP 14,WS 14,Cluster 15,VORP 15,WS 15,Cluster 16,VORP 16,WS 16,Cluster 17,VORP 17,WS 17,Cluster 18,VORP 18,WS 18,Cluster 19,VORP 19,WS 19,Cluster 20,VORP 20,WS 20,Cluster 21,VORP 21,WS 21
Jamaal Magloire,1978,,,,,,,6,1.2,6.7,6,0.3,7.6,0,-0.3,0.3,6,-1.4,2.0,4,-1.1,1.1,3,-0.7,-0.6,0,-0.3,1.3,0,-0.5,0.6,0,0.0,0.6,3,-0.5,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Rose,1974,,,,,,,,,,,,,,,,,,,4,0.9,5.2,4,0.3,3.8,4,-0.1,2.6,0,-0.2,0.5,0,-0.3,0.1,3,-0.6,-0.5,3.0,-0.6,-0.4,,,,,,,,,,,,,,,,,,,,,,,,
Jared Cunningham,1991,,,,7,-0.1,0.1,7,-0.1,0.0,7,-0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemanja Nedovic,1991,3,-0.3,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Wafer,1985,3,-0.2,-0.3,,,,3,-0.4,-0.5,5,0.2,2.6,,,,5,0.0,1.1,7,-0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Price,1986,5,0.0,1.2,7,-0.3,0.3,7,0.0,0.7,5,0.1,2.2,7,-0.1,0.0,7,-0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Carroll,1980,7,-0.1,0.0,7,-0.2,0.7,5,-0.2,2.6,2,0.8,4.6,2,-0.1,3.0,7,-0.5,-0.1,7,-0.1,-0.1,7,-0.3,0.8,7,-0.8,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Radojevic,1976,,,,,,,,,,,,,,,,3,-0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elden Campbell,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,0.0,2.1,3.0,-0.5,0.0,,,,,,,,,,,,,,,,,,
Cezary Trybanski,1979,3,-0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy Acy,1990,0,0.2,1.1,0,0.2,1.5,4,-0.3,1.7,0,0.5,2.5,5,-0.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Powell,1983,0,-0.2,0.7,0,-0.3,0.3,0,-0.7,1.1,0,-0.6,0.6,3,-0.6,0.0,3,-1.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noel Felix,1981,3,-0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Othyus Jeffers,1985,3,-0.1,0.1,0,0.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Johnson,1989,5,0.1,1.5,7,-0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
